1,Los Angeles International Airport,Los Angeles,United States,LAX,446057,1498851,10250841,4183839400,4172262000,33.9425,-118.408,407.017,367,1.13686e+07,0
2,Miami International Airport,Miami,United States,MIA,725770,2148293,4245101,2074745400,2079948900,25.7932,-80.2906,489.965,359,5.79373e+06,0
3,Chicago O'Hare International Airport,Chicago,United States,ORD,289596,1400091,8592572,3872349400,3882163100,41.9786,-87.9048,451.805,350,1.10919e+07,0
4,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL,92090,650974,1829565,5068557400,5074171800,33.6367,-84.4281,2773.43,335,1.51468e+07,0
5,John F Kennedy International Airport,New York,United States,JFK,3074780,7742165,26181925,2968138100,2998568900,40.6398,-73.7789,114.528,326,9.19806e+06,0
6,Teterboro Airport,Teterboro,United States,TEB,704060,13423861,27136182,723700,709000,40.8501,-74.0608,0.0261275,312,2272,0
7,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,DFW,146782,1456012,5536376,3194482200,3201667300,32.8968,-97.038,578.297,306,1.0463e+07,0
8,Newark Liberty International Airport,Newark,United States,EWR,746528,11272842,26967367,2162835400,2160145200,40.6925,-74.1687,80.1022,293,7.37251e+06,0
9,George Bush Intercontinental Houston Airport,Houston,United States,IAH,31534,235021,3587233,1967850200,1966715700,29.9844,-95.3414,548.254,286,6.87663e+06,0
10,Westchester County Airport,White Plains,United States,HPN,161287,823777,13067151,75742000,75890400,41.067,-73.7076,5.80772,267,284233,0
11,Washington Dulles International Airport,Washington,United States,IAD,147304,565316,3450075,1107763400,1115580900,38.9445,-77.4558,323.35,266,4.19391e+06,0
12,Denver International Airport,Denver,United States,DEN,0,6224,2484765,3018402600,3019557000,39.8617,-104.673,1215.23,248,1.21756e+07,0
13,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,MSP,133874,1251353,2889189,1847876100,1850537300,44.882,-93.2218,640.504,247,7.49205e+06,0
14,Ted Stevens Anchorage International Airport,Anchorage,United States,ANC,0,298695,309195,255128500,253902000,61.1744,-149.996,821.171,247,1.02794e+06,0
15,McCarran International Airport,Las Vegas,United States,LAS,251145,1910199,1953022,2353632600,2353919600,36.0801,-115.152,1205.27,235,1.00167e+07,0
16,General Edward Lawrence Logan International Airport,Boston,United States,BOS,1455974,2406568,4404084,1881020400,1890680500,42.3643,-71.0052,429.302,233,8.11451e+06,0
17,Orlando International Airport,Orlando,United States,MCO,84135,631239,1428168,2170603200,2193401000,28.4294,-81.309,1535.81,229,9.57817e+06,0
18,Charlotte Douglas International Airport,Charlotte,United States,CLT,0,877727,1590054,2225662800,2232161100,35.214,-80.9431,1403.83,226,9.87682e+06,0
19,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,FLL,652341,1961708,4448688,1590328000,1600499500,26.0726,-80.1527,359.769,224,7.14509e+06,0
20,Memphis International Airport,Memphis,United States,MEM,52589,1454569,1685179,213806800,213500700,35.0424,-89.9767,126.693,223,957402,0
21,Detroit Metropolitan Wayne County Airport,Detroit,United States,DTW,102066,612686,2917504,1711984200,1715619200,42.2124,-83.3534,588.043,222,7.72801e+06,0
22,San Francisco International Airport,San Francisco,United States,SFO,283414,1521698,4337638,2709189700,2720333900,37.619,-122.375,627.146,222,1.22538e+07,0
23,Philadelphia International Airport,Philadelphia,United States,PHL,117684,2248470,3619004,1432417400,1441676100,39.8719,-75.2411,398.363,219,6.583e+06,0
24,Seattle Tacoma International Airport,Seattle,United States,SEA,177423,1411926,3413772,2267529500,2274391600,47.449,-122.309,666.24,202,1.12594e+07,0
25,Louisville International Standiford Field,Louisville,United States,SDF,305139,619660,787040,171624400,171451400,38.1744,-85.736,217.843,201,852992,0
