1,London Heathrow Airport,London,United Kingdom,LHR,225790,1024084,13647648,726582100,744131500,51.4706,-0.461941,54.5245,43,1.73054e+07,2278,0
2,Charles de Gaulle International Airport,Paris,France,CDG,213155,1488921,9481247,357381100,360178600,49.0128,2.55,37.9885,32,1.12556e+07,1625,0
3,Frankfurt am Main International Airport,Frankfurt,Germany,FRA,108089,1324925,3453981,342415200,335648300,50.0333,8.57056,97.1772,42,7.99163e+06,1563,0
4,Amsterdam Airport Schiphol,Amsterdam,Netherlands,AMS,176315,1491431,4112880,265672800,262918300,52.3086,4.76389,63.9256,29,9.06615e+06,1286,0
5,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,MAD,574480,6445688,9455533,121768700,122315600,40.4719,-3.56264,12.9359,26,4.70445e+06,638,0
6,Dublin Airport,Dublin,Ireland,DUB,139843,1609527,2178376,139933500,138825100,53.4213,-6.27007,63.7287,26,5.33943e+06,590,0
7,Munich International Airport,Munich,Germany,MUC,60679,201886,2476965,119698600,118686400,48.3538,11.7861,47.9161,25,4.74746e+06,555,0
8,Zürich Airport,Zurich,Switzerland,ZRH,509801,1759469,3291409,99917100,100673200,47.4647,8.54917,30.5867,36,2.79648e+06,516,0
9,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,GRU,1169577,1908080,17797252,148338900,145454700,-23.4356,-46.4731,8.17287,16,9.09092e+06,515,0
10,Manchester Airport,Manchester,United Kingdom,MAN,215703,1260746,4526619,85407800,84531300,53.3537,-2.27495,18.6743,17,4.97243e+06,469,0
11,Copenhagen Kastrup Airport,Copenhagen,Denmark,CPH,31185,1320829,2453434,53509600,54208700,55.6179,12.656,22.095,16,3.38804e+06,459,0
12,London Gatwick Airport,London,United Kingdom,LGW,262134,603629,12653103,120731200,117400600,51.1481,-0.190278,9.2784,14,8.38576e+06,435,0
13,Comodoro Arturo Merino Benítez International Airport,Santiago,Chile,SCL,104316,4988861,6193870,56843700,56132900,-33.393,-70.7858,9.06265,14,4.00949e+06,432,0
14,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,FCO,129704,334082,3157807,106345400,103911900,41.8003,12.2389,32.9063,15,6.92746e+06,385,0
15,Sydney Kingsford Smith International Airport,Sydney,Australia,SYD,5081807,5776054,6773860,100242000,99791600,-33.9461,151.177,14.7319,4,2.49479e+07,374,0
16,Tokyo Haneda International Airport,Tokyo,Japan,HND,1306785,13361585,25105791,94156200,89307100,35.5523,139.78,3.55723,17,5.25336e+06,358,0
17,Brussels Airport,Brussels,Belgium,BRU,189299,1481489,3990607,46105600,45907500,50.9014,4.48444,11.5039,12,3.82562e+06,342,0
18,Atatürk International Airport,Istanbul,Turkey,IST,1401069,18062989,21080300,97490600,93918900,40.9769,28.8146,4.45529,10,9.39189e+06,340,0
19,Stockholm-Arlanda Airport,Stockholm,Sweden,ARN,28799,77912,2890571,40540300,41015300,59.6519,17.9186,14.1893,22,1.86433e+06,329,0
20,Ben Gurion International Airport,Tel-aviv,Israel,TLV,659422,2666481,6234152,73666000,73932500,32.0114,34.8867,11.8593,12,6.16104e+06,326,0
21,Barcelona International Airport,Barcelona,Spain,BCN,725206,5772919,7912046,57490200,56130200,41.2971,2.07846,7.09427,21,2.67287e+06,318,0
22,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,LUX,105343,178047,909813,400,200,49.6233,6.20444,0.000219825,12,16,314,0
23,Shannon Airport,Shannon,Ireland,SNN,12110,43352,169413,20618800,19016800,52.702,-8.92482,112.251,24,792366,280,0
24,Auckland International Airport,Auckland,New Zealand,AKL,421034,1103102,1359709,55146700,53026000,-37.0081,174.792,38.9981,6,8.83767e+06,255,0
25,Lisbon Portela Airport,Lisbon,Portugal,LIS,974407,2094357,3003854,43427000,45985700,38.7813,-9.13592,15.3089,11,4.18052e+06,253,0
