1,Ronald Reagan Washington National Airport,Washington,United States,DCA,1127514,2196935,4648678,1154332800,1156880400,38.8521,-77.0377,248.862,144,8.03389e+06,0,8026
2,Bethel Airport,Bethel,United States,BET,6450,6450,7837,15014500,15045400,60.7798,-161.838,1919.79,78,192889,0,7685
3,Nome Airport,Nome,United States,OME,3806,3806,3806,7576500,7583300,64.5122,-165.445,1992.46,62,122311,0,3606
4,Ralph Wien Memorial Airport,Kotzebue,United States,OTZ,3277,3277,3277,7985000,7988900,66.8847,-162.599,2437.87,44,181565,0,3049
5,Eppley Airfield,Omaha,United States,OMA,510903,572407,673110,229379700,229559400,41.3032,-95.8941,341.043,117,1.96205e+06,0,3007
6,Buffalo Niagara International Airport,Buffalo,United States,BUF,252330,649568,929648,236045600,235774500,42.9405,-78.7322,253.617,124,1.90141e+06,0,2795
7,Albuquerque International Sunport Airport,Albuquerque,United States,ABQ,600097,624583,904519,248181500,247967400,35.0402,-106.609,274.143,97,2.55636e+06,0,2722
8,Des Moines International Airport,Des Moines,United States,DSM,289467,386630,553022,127430800,127510900,41.534,-93.6631,230.571,98,1.30113e+06,0,2123
9,Boise Air Terminal/Gowen field,Boise,United States,BOI,157537,250556,403681,181576700,180187100,43.5644,-116.223,446.36,81,2.22453e+06,0,2075
10,Lambert St Louis International Airport,St. Louis,United States,STL,233244,602355,1850817,744273600,746375900,38.7487,-90.37,403.268,155,4.81533e+06,0,2062
11,Laredo International Airport,Laredo,United States,LRD,630012,638005,650478,9188300,9457900,27.5438,-99.4616,14.5399,136,69543,0,2048
12,Reno Tahoe International Airport,Reno,United States,RNO,337539,379788,492417,196679500,196533700,39.4991,-119.768,399.12,72,2.72963e+06,0,1885
13,James M Cox Dayton International Airport,Dayton,United States,DAY,56198,342112,852249,93701300,93390700,39.9024,-84.2194,109.581,95,983060,0,1598
14,Willow Run Airport,Detroit,United States,YIP,110650,242053,1507765,278900,324200,42.2379,-83.5304,0.21502,172,1884,0,1534
15,Licenciado Gustavo Díaz Ordaz International Airport,Puerto Vallarta,Mexico,PVR,315803,355115,391749,109261600,109968600,20.6801,-105.254,280.712,47,2.33976e+06,0,1486
16,The Eastern Iowa Airport,Cedar Rapids,United States,CID,4112,161180,345250,57551500,57539200,41.8847,-91.7108,166.66,82,701697,0,1330
17,Dillingham Airport,Dillingham,United States,DLG,2404,2404,2404,3393100,3439800,59.0447,-158.505,1430.87,43,79995,0,1328
18,Myrtle Beach International Airport,Myrtle Beach,United States,MYR,59879,90734,145999,115332000,115107700,33.6797,-78.9283,788.414,76,1.51458e+06,0,1321
19,Northwest Arkansas Regional Airport,Bentonville,United States,XNA,15731,78907,400953,69928300,69846400,36.2819,-94.3068,174.201,80,873080,0,1266
20,Joe Foss Field Airport,Sioux Falls,United States,FSD,172082,195320,216391,54404500,54520000,43.582,-96.7419,251.951,63,865396,0,1218
21,St Petersburg Clearwater International Airport,St. Petersburg,United States,PIE,99596,807002,2251071,102620400,103796400,27.9102,-82.6874,46.1098,100,1.03796e+06,0,1066
22,Fort Worth Alliance Airport,Fort Worth,United States,AFW,47544,207570,3058530,294200,302300,32.9876,-97.3188,0.0988383,63,4798,0,1046
23,Wiley Post Will Rogers Memorial Airport,Barrow,United States,BRW,4384,4384,4384,6373500,6358700,71.2854,-156.766,1450.43,18,353261,0,1032
24,Sitka Rocky Gutierrez Airport,Sitka,United States,SIT,8863,8863,8863,13024600,13030800,57.0471,-135.362,1470.25,21,620514,0,1029
25,Lehigh Valley International Airport,Allentown,United States,ABE,270687,334252,714014,33275100,33034000,40.6521,-75.4408,46.2652,56,589892,0,998
